Quel grand roi a régné sur la France au Moyen Âge et construit la Sainte-Chapelle ?;Saint Louis;Charles Martel;Philippe le Bel;Louis IX
Où les Romains ont-ils construit leur célèbre aqueduc ?;En Gaule;En Italie;En Égypte;En Grèce
Quelle bataille a marqué la fin de l'Empire napoléonien ?;La bataille de Waterloo;La bataille de Leipzig;La bataille d'Austerlitz;La bataille de Trafalgar
Quel roi d'Angleterre a mené la guerre de Cent Ans contre la France ?;Édouard III;Henri VIII;Richard Cœur de Lion;Jean sans Terre
Quelle est la capitale du royaume des Incas ?;Cuzco;Tenochtitlán;Machu Picchu;Lima
Quelle révolution a eu lieu en Russie en 1917 ?;La Révolution d'Octobre;La Révolution française;La Révolution américaine;La Révolution industrielle
Quelle ville était le cœur de l'Empire romain ?;Rome;Athènes;Alexandrie;Constantinople
En quelle année a été signé le traité de Rome qui a fondé l'Union européenne ?;1957;1945;1960;1963
Quel est le nom de la plus grande guerre du XXe siècle ?;La Seconde Guerre mondiale;La Guerre de Corée;La Guerre du Vietnam;La Première Guerre mondiale
Qui était le principal leader de l'Empire Ottoman ?;Suleiman le Magnifique;Charlemagne;Napoléon;Alexandre le Grand
Où se trouve le célèbre site de Petra, la "cité rose" ?;En Jordanie;En Égypte;En Grèce;En Israël
En quelle année a eu lieu le premier voyage de Christophe Colomb ?;1492;1500;1480;1510
Qui a rédigé la Constitution des États-Unis en 1787 ?;Les Pères fondateurs;Thomas Jefferson;George Washington;Abraham Lincoln
Qui est considéré comme l'un des plus grands généraux de l'Antiquité, ayant conquis un empire s'étendant de la Grèce à l'Inde ?;Alexandre le Grand;Hannibal;César;Darius Ier
Quel événement a marqué la fin de la monarchie en France ?;La Révolution française;La guerre de Cent Ans;La prise de la Bastille;Le couronnement de Napoléon
En quelle année l'Empire romain d'Occident est-il tombé ?;476;500;1000;800
Qui a écrit "Le Prince", une œuvre politique influente ?;Nicolas Machiavel;Jean-Jacques Rousseau;Voltaire;Descartes
Quel empereur romain a adopté le christianisme et a fait de la religion chrétienne une religion légale ?;Constantin Ier;Augustus;Néron;Marc-Aurèle
Quel événement a marqué la fin de l'Empire mongol en Russie ?;La bataille de Koulikovo;La chute de Constantinople;La guerre de Cent Ans;Le traité de Versailles
